rk,fkill
2.612, 0.000
13.131, 0.002
23.649, 0.002
34.167, 0.006
44.685, 0.012
55.204, 0.020
65.722, 0.029
75.810, 0.038
84.846, 0.048
93.452, 0.058
101.759, 0.068
109.050, 0.078
119.987, 0.095
115.445, 0.082
127.538, 0.106
125.485, 0.095
133.098, 0.116
139.768, 0.132
139.828, 0.121
147.100, 0.142
145.087, 0.131
153.299, 0.154
158.602, 0.165
163.665, 0.174
169.471, 0.178
176.403, 0.209
176.164, 0.192
183.223, 0.218
186.587, 0.230
191.206, 0.241
195.472, 0.251
198.194, 0.260
201.777, 0.271
206.540, 0.281
209.849, 0.291
220.275, 0.323
229.891, 0.356
226.365, 0.326
234.652, 0.366
237.703, 0.377
234.971, 0.353
243.046, 0.402
243.099, 0.380
251.173, 0.420
249.912, 0.407
253.801, 0.432
256.827, 0.442
260.447, 0.452
263.601, 0.464
268.382, 0.475
272.151, 0.487
275.291, 0.499
273.219, 0.475
278.064, 0.512
281.825, 0.528
285.650, 0.539
288.739, 0.550
294.457, 0.574
292.875, 0.560
300.140, 0.585
302.133, 0.605
302.543, 0.592
309.702, 0.640
308.121, 0.609
315.807, 0.654
317.651, 0.666
321.030, 0.675
315.771, 0.642
322.836, 0.687
325.046, 0.697
328.297, 0.707
330.722, 0.724
334.656, 0.737
337.285, 0.752
333.460, 0.715
340.154, 0.763
336.329, 0.725
341.429, 0.777
346.092, 0.788
347.060, 0.802
352.059, 0.815
354.149, 0.828
355.644, 0.841
358.910, 0.850
360.528, 0.862
364.569, 0.876
366.370, 0.887
368.442, 0.898
370.992, 0.908
373.741, 0.920
375.773, 0.933
378.744, 0.943
380.633, 0.955
382.889, 0.965
384.458, 0.976
386.714, 0.986
388.626, 0.996
394.658, 0.999
