rk,fkill
0.000, 0.004
8.869, 0.010
26.608, 0.022
35.477, 0.030
57.650, 0.049
75.388, 0.069
95.344, 0.099
113.082, 0.126
126.386, 0.150
144.124, 0.182
159.645, 0.211
184.035, 0.268
197.339, 0.296
208.426, 0.326
217.295, 0.353
226.164, 0.379
237.251, 0.407
248.337, 0.444
259.424, 0.474
268.293, 0.501
279.379, 0.537
288.248, 0.563
294.900, 0.596
312.639, 0.654
321.508, 0.685
330.377, 0.713
337.029, 0.740
343.681, 0.772
350.333, 0.802
359.202, 0.835
368.071, 0.863
374.723, 0.898
379.157, 0.916
388.027, 0.956
394.678, 0.985
